n_true,profile,rep,N,n_exp,n_soe,n_exp_1s,beta_exp
0.85,balanced,23,6238,0.33534553268780515,0.8572856417512551,0.6325296079592994,651.2424680371737
0.85,balanced,24,6617,0.37187173106229954,0.875901327789061,0.6560427647984335,423.16971101636585
0.85,balanced,25,5601,0.35014518165645897,0.8619767774493424,0.6421366233873249,478.69417864368256
0.85,balanced,26,6321,0.35922149742807313,0.8096769595059751,0.6195378824526576,530.706429755651
0.85,balanced,27,4732,0.3398476165128259,0.8294493566900275,0.6271450458293003,556.1875021079727
0.85,balanced,28,6295,0.3659293757284496,0.8813633290998679,0.6579819971964782,483.95391156584986
0.85,balanced,29,6145,0.3648563525637438,0.8431093867095941,0.6406915904636419,452.27516898952547
0.85,slow,0,5637,0.08227888838231757,0.7605181795137796,0.4077222058554148,206.16867078849813
0.85,slow,1,5429,0.08005656642387338,0.8559541162978301,0.5230884969794648,122.56158560112101
0.85,slow,2,6522,0.10060365722962208,0.8575585197031858,0.5021818318877617,106.69324306289438
0.85,slow,3,5712,0.13875446633213442,0.8973345885608319,0.5598013652178585,35.36061111902111
0.85,slow,4,5015,0.1620554151547572,0.8373642442241831,0.5995839660028996,18.68053492334024
0.85,slow,5,5120,0.1888953038910787,0.8474216053876823,0.4628806572250336,11.961641066235712
0.85,slow,6,6524,0.08221609769361415,0.8701915925263762,0.6715641743205735,134.32858864064156
0.85,slow,7,5758,0.10266679947491013,0.8491557584752674,0.39649336657411166,73.33593539109586
0.85,slow,8,5714,0.16692667590551427,0.8326011822676934,0.48546430402007174,18.692351778362205
0.85,slow,9,5015,0.10359812841849521,0.5856438119145366,0.42926553670431444,62.625957946555474
0.85,slow,10,7322,0.07859256094377827,0.8843780347128486,0.6016967173778155,181.608963568744
0.85,slow,11,6563,0.10386069743026134,0.8445858208643267,0.4286515062954657,87.02443750472507
0.85,slow,12,6037,0.08961033906818723,0.8138199515653085,0.5169191333089922,116.6443011766607
0.85,slow,13,6225,0.07263514157761265,0.5602919869223721,0.47171780803067703,223.93500924456134
0.85,slow,14,5495,0.07031731816905211,0.7597788759947008,0.41009714092420335,220.65253151436073
0.85,slow,15,6507,0.09606094703031341,0.7596655126097597,0.46369698195205356,102.92849352934854
0.85,slow,16,5457,0.09207462430345974,0.8368626694967256,0.6275006790766882,87.37856881589613
0.85,slow,17,6292,0.07874956117283201,0.806774068170431,0.46882177762393457,168.78855243040059
0.85,slow,18,5607,0.12382419898885703,0.8533533092658935,0.5268072542736845,44.60704039203359
0.85,slow,19,5212,0.15281560004615777,0.838993300126866,0.47649468672033246,24.36072349910759
0.85,slow,20,6533,0.07931868901903447,0.8680613731787719,0.39458704013777574,201.54466851243137
0.85,slow,21,5643,0.08310741729074626,0.8050863610090642,0.42507756928174534,140.11135987670787
0.85,slow,22,6057,0.08734526172955417,0.5443694087040307,0.3965698353804512,122.442155492715
0.85,slow,23,5462,0.09755819259499879,0.7960099900989224,0.38270248621253844,71.30371194131833
0.85,slow,24,5294,0.0683757036000831,0.8504450437972179,0.4709108004794962,197.166337247794
0.85,slow,25,5334,0.10994464087847675,0.8529051457416471,0.4892341173660238,58.47808646984197
0.85,slow,26,5252,0.06830006648372751,0.7011725352979384,0.3476709302110285,233.2135037501352
0.85,slow,27,5025,0.08497763227446978,0.8382860935146575,0.474326220598137,125.08075999082577
0.85,slow,28,6093,0.09046959025082293,0.8535661355362458,0.5131085182683579,92.64403585257584
0.85,slow,29,5106,0.14010147337521212,0.8219942661203921,0.49353586335209004,25.22872862933148
0.95,fast,0,6252,0.807754895492463,0.9505304731196179,0.9217070157940465,857.3329657367892
0.95,fast,1,7095,0.8330325599254343,0.9618763588613475,0.9293728685283077,769.1622204034859
0.95,fast,2,5054,0.8081744780313949,0.9302850695975899,0.9093964344262917,710.5375317085205
0.95,fast,3,5737,0.8215081890694413,0.9523568000625402,0.9237331738174773,696.7848136604856
0.95,fast,4,5683,0.8117235703702821,0.9449351892650557,0.909715100797542,787.965967295505
0.95,fast,5,4480,0.7814555071179793,0.9254059304907556,0.893968361674354,814.4129401642555
0.95,fast,6,8283,0.8269507106383959,0.9642167633083627,0.9280462740616446,848.7712995277626
0.95,fast,7,6740,0.8334010556722553,0.9621473589321443,0.9361757753185485,747.0096473213155
0.95,fast,8,4789,0.7931877447049336,0.9400729520505408,0.9030344704863158,905.8091140774413
0.95,fast,9,5481,0.8164437690168432,0.9388942209756429,0.9111182969952515,797.9818423135895
0.95,fast,10,5791,0.794298693754284,0.9316373028786165,0.9016434446723118,936.1649878668115
0.95,fast,11,4401,0.7926725065216298,0.9307281361262636,0.9030888888811074,834.6886063661065
0.95,fast,12,5704,0.7992366601865218,0.9371134294526684,0.905999564442102,768.149930033623
